ndc_id,ndc_code,location_id
12294,61703-339-18,2
12297,61703-339-18,2
2578,55150-171-10,33
2577,55150-171-10,34
13806,0409-4902-34,2
12466,63323-186-00,45
3258,63323-671-50,11
1429,0338-0062-30,12
3115,63323-185-10,45
282,83090-006-10,171
271,83090-006-10,172
4718,0409-1159-01,2
5626,0409-9137-05,24
13290,66794-160-02,115
9657,63323-452-01,10
8823,54288-165-01,183
13578,54288-166-01,183
6208,54288-164-01,184
13570,54288-166-01,184
9980,43547-604-10,41
349,43547-608-10,42
955,43547-606-10,42
1672,62332-599-25,199
8419,65162-027-09,205
640,0054-0371-25,194
660,0054-0374-25,194
4038,63323-412-10,10
3825,71288-203-05,31
3917,65219-472-20,159
8881,50458-585-01,214
8106,70121-1388-1,218
2921,0338-0553-11,12
3062,0338-0553-18,12
7975,76045-009-06,58
5747,0409-5555-02,2
5747,0409-5555-02,24
4443,63323-421-02,45
4459,61703-161-05,20
4634,0409-4888-20,24
7910,0409-4888-10,24
8485,0409-4888-12,85
4860,0409-1403-10,16
5687,0409-2634-01,23
5004,0143-9606-01,241
5190,63323-808-11,58
5323,0409-4283-01,85
6577,0264-7387-50,120
7200,63323-631-50,10
7430,72485-509-10,201
7548,23155-600-41,64
8962,0409-0152-24,2
9698,16729-239-93,9
1108,63323-824-75,10
13801,65219-458-30,58
4306,63323-460-37,10
7384,70069-064-25,18
7041,61703-360-18,20
9489,0338-0017-10,25
14155,0338-0017-48,27
3313,79672-613-02,40
6754,43547-408-50,42
13830,63323-851-10,45
3621,59417-101-10,49
3621,59417-101-10,51
10331,16729-136-16,19
8829,16729-137-16,9
5714,42858-163-01,60
11156,0409-3814-12,2
1516,76297-001-21,40
1533,76297-001-21,40
1727,43598-975-58,16
10480,0409-9094-28,2
12163,71288-563-85,65
8277,57664-052-88,0
13176,57664-087-88,66
353,64850-552-01,67
9475,60505-6282-3,72
11958,0019-1188-81,74
9782,0597-0575-60,77
10723,57664-606-88,0
8840,0409-4264-01,23
9975,70436-119-80,84
5946,0409-1582-29,23
11046,0409-1746-10,23
836,0409-1559-10,85
12400,0409-1587-50,85
10733,0409-2305-17,24
10768,42571-132-52,87
10816,63323-286-31,10
687,63323-286-23,11
10812,63323-286-31,11
2414,63323-287-21,88
4462,68968-5555-3,97
4812,0338-0049-10,12
4788,0338-0049-41,25
10914,0338-0049-04,25
14192,0338-0049-18,25
4828,0338-0049-10,27
7294,0338-0049-48,27
9127,0338-0049-03,27
9126,0338-0049-03,28
9448,0338-0049-11,28
10977,0338-0117-04,12
1640,63323-285-65,10
9909,63323-288-20,10
11153,0409-4279-02,2
11944,0409-4277-02,2
7079,0409-4282-02,24
3154,0409-4713-32,23
5108,0409-4276-01,85
11488,71093-129-05,108
9028,63323-483-27,45
13742,63323-483-57,45
6977,0409-3301-10,2
12317,0409-1174-10,24
11859,0009-0280-52,3
12206,66794-228-41,116
11380,16729-306-10,9
3504,0406-5114-01,117
13044,0406-5112-01,117
2383,0703-0113-03,121
8757,43598-440-01,63
11515,43598-441-01,63
9741,0264-7800-09,120
11759,0990-7983-02,29
8347,0990-7984-13,24
8394,0990-7984-23,24
8395,0990-7984-23,24
9920,0990-7983-03,24
1327,0409-9045-17,85
9197,0409-9042-01,85
12263,0409-1966-05,85
11933,55150-209-02,33
730,0169-7705-21,138
12146,0409-1761-62,23
791,60505-4742-1,142
796,60505-4742-1,142
12218,43598-305-62,147
12385,55150-201-20,33
12962,55150-198-30,34
3642,55150-249-50,33
2568,55150-171-10,34
4095,63323-186-10,10
12457,63323-186-00,10
6056,63323-186-20,45
9027,13668-383-90,156
13061,43547-412-09,168
1308,16729-526-08,9
1657,55150-386-01,174
2361,54288-167-01,183
2365,54288-167-01,183
3475,63323-201-10,10
1361,63323-201-02,45
13813,0409-6102-26,24
13885,0409-3793-01,23
1674,62332-599-25,198
1678,62332-599-25,199
1404,16729-484-90,9
4039,63323-412-10,10
219,65219-466-60,159
211,65219-466-60,207
2192,65219-474-10,207
2210,65219-474-10,207
5839,0781-3495-95,209
2081,72572-160-10,7
2463,0409-4910-34,24
4151,0409-9630-05,24
8937,63323-493-97,89
8098,70121-1388-1,216
8104,70121-1388-1,218
2707,55150-163-30,33
5560,55150-164-02,34
2913,0338-0553-11,12
3066,0338-0553-18,27
7729,65282-1505-1,178
7721,65282-1505-1,114
7727,65282-1505-1,114
4730,76045-105-20,10
3402,76045-104-10,58
6167,76045-121-11,10
4454,61703-161-05,20
9004,0409-4888-50,24
4666,71288-728-32,31
7355,0409-2634-05,23
